paese,codice_iso,disoccupazione_giovanile_pct
Bosnia ed Erzegovina,BIH,30.1
Macedonia del Nord,MKD,29.4
Spagna,ESP,28.7
Grecia,GRC,26.7
Serbia,SRB,25.0
Italia,ITA,22.7
Svezia,SWE,22.1
Romania,ROU,21.8
Portogallo,PRT,20.5
Slovacchia,SVK,19.8
Croazia,HRV,18.9
Lussemburgo,LUX,18.8
Turchia,TUR,17.5
Estonia,EST,17.3
Francia,FRA,17.2
Cipro,CYP,16.5
Finlandia,FIN,16.2
Belgio,BEL,16.1
Lituania,LTU,13.8
Ungheria,HUN,12.8
Lettonia,LVA,12.3
Bulgaria,BGR,12.1
Danimarca,DNK,11.5
Polonia,POL,11.4
Norvegia,NOR,11.0
Irlanda,IRL,10.7
Austria,AUT,10.4
Slovenia,SVN,9.9
Islanda,ISL,8.8
Repubblica Ceca,CZE,8.3
Paesi Bassi,NLD,8.2
Svizzera,CHE,7.9
Germania,DEU,5.9
