paese,codice_iso,aspettativa_vita_anni
Giappone,JPN,84.3
Svizzera,CHE,84.0
Spagna,ESP,83.7
Australia,AUS,83.4
Singapore,SGP,83.5
Corea del Sud,KOR,83.6
Italia,ITA,83.6
Islanda,ISL,83.3
Norvegia,NOR,83.2
Irlanda,IRL,83.2
Francia,FRA,83.0
Israele,ISR,83.0
Svezia,SWE,83.1
Lussemburgo,LUX,82.8
Malta,MLT,82.6
Nuova Zelanda,NZL,82.5
Canada,CAN,82.2
Finlandia,FIN,82.2
Grecia,GRC,82.4
Paesi Bassi,NLD,82.4
Austria,AUT,82.1
Danimarca,DNK,82.0
Germania,DEU,81.5
Belgio,BEL,81.8
Regno Unito,GBR,81.8
Portogallo,PRT,81.9
Slovenia,SVN,81.7
Qatar,QAT,80.2
Cile,CHL,80.2
Costa Rica,CRI,80.2
Emirati Arabi Uniti,ARE,79.2
Bahrain,BHR,79.3
Albania,ALB,79.3
Cipro,CYP,79.3
Stati Uniti,USA,78.8
Libano,LBN,78.5
Croazia,HRV,78.2
Cina,CHN,78.2
Repubblica Ceca,CZE,78.0
Polonia,POL,78.0
Bosnia ed Erzegovina,BIH,77.4
Turchia,TUR,77.8
Kuwait,KWT,77.8
Colombia,COL,77.1
Oman,OMN,77.5
Arabia Saudita,SAU,76.6
Vietnam,VNM,76.1
Argentina,ARG,76.1
Ecuador,ECU,76.4
Tailandia,THA,76.8
Sri Lanka,LKA,76.8
Lituania,LTU,76.5
Slovakia,SVK,76.9
Romania,ROU,75.8
Armenia,ARM,75.3
Ungheria,HUN,75.9
Bulgaria,BGR,75.0
Iran,IRN,75.7
Malesia,MYS,75.7
Messico,MEX,75.0
Algeria,DZA,76.5
Marocco,MAR,75.2
Azerbaigian,AZE,74.4
Georgia,GEO,74.8
Giordania,JOR,74.8
Tunisia,TUN,74.5
Perù,PER,74.0
Brasile,BRA,74.0
Bielorussia,BLR,74.0
Ucraina,UKR,73.0
Bangladesh,BGD,73.3
Siria,SYR,72.7
Iraq,IRQ,72.5
Russia,RUS,72.0
Kazakhstan,KAZ,72.0
Moldova,MDA,72.0
Libia,LBY,72.1
Venezuela,VEN,72.4
Corea del Nord,PRK,72.0
Egitto,EGY,71.8
Nepal,NPL,71.5
Filippine,PHL,71.5
Indonesia,IDN,70.7
India,IND,70.2
Bolivia,BOL,70.3
Cambogia,KHM,70.3
Mongolia,MNG,70.0
Pakistan,PAK,68.0
Tanzania,TZA,68.3
Laos,LAO,68.2
Senegal,SEN,68.4
Eritrea,ERI,67.3
Kenya,KEN,67.4
Uganda,UGA,66.8
Ruanda,RWA,69.6
Birmania,MMR,65.2
Sudan,SDN,65.5
Madagascar,MDG,65.8
Sud Africa,ZAF,65.6
Ghana,GHA,64.5
Namibia,NAM,64.2
Etiopia,ETH,64.8
Afghanistan,AFG,62.7
Angola,AGO,62.6
Camerun,CMR,61.8
Liberia,LBR,61.3
Burundi,BDI,62.0
Guinea,GIN,62.0
Burkina Faso,BFA,62.0
Benin,BEN,62.9
Zambia,ZMB,62.9
Mozambico,MOZ,60.4
Zimbabwe,ZWE,60.5
Congo (Rep. Dem.),COD,60.7
Costa d'Avorio,CIV,58.9
Nigeria,NGA,55.3
Niger,NER,55.9
Somalia,SOM,56.5
Mali,MLI,57.1
Ciad,TCD,53.7
