paese,codice_iso,pil_procapite_ppp_usd
Lussemburgo,LUX,150508
Irlanda,IRL,129683
Qatar,QAT,129368
Norvegia,NOR,103638
Svizzera,CHE,95142
Brunei,BRN,85033
Stati Uniti d'America,USA,82305
Paesi Bassi,NLD,81729
Islanda,ISL,81608
Groenlandia,GRL,78841
Emirati Arabi Uniti,ARE,77955
Danimarca,DNK,77892
Austria,AUT,73545
Australia,AUS,72273
Belgio,BEL,71946
Germania,DEU,71684
Arabia Saudita,SAU,71565
Svezia,SWE,69226
Canada,CAN,64219
Finlandia,FIN,63415
Francia,FRA,60839
Italia,ITA,60030
Regno Unito,GBR,59911
Cipro,CYP,59875
Corea del Sud,KOR,57430
Slovenia,SVN,56064
Repubblica Ceca,CZE,55761
Spagna,ESP,55682
Israele,ISR,55171
Guyana,GUY,54729
Nuova Zelanda,NZL,54697
Kuwait,KWT,53025
Lituania,LTU,52348
Giappone,JPN,50662
Portogallo,PRT,49353
Estonia,EST,48637
Polonia,POL,48473
Croazia,HRV,47760
Porto Rico,PRI,47543
Ungheria,HUN,46592
Romania,ROU,45982
Slovacchia,SVK,45974
Russia,RUS,44269
Turchia,TUR,42786
Grecia,GRC,42711
Lettonia,LVA,42576
Oman,OMN,41945
Panama,PAN,39813
Bahamas,BHS,39090
Bulgaria,BGR,38829
Kazakistan,KAZ,38515
Malaysia,MYS,36467
Trinidad e Tobago,TTO,34623
Uruguay,URY,34471
Cile,CHL,33145
Montenegro,MNE,31863
Bielorussia,BLR,30834
Argentina,ARG,30221
Serbia,SRB,29777
Costa Rica,CRI,28909
Repubblica Dominicana,DOM,25840
Macedonia del Nord,MKD,25354
Messico,MEX,25243
Cina,CHN,25179
Georgia,GEO,25072
Albania,ALB,24822
Azerbaigian,AZE,23652
Thailandia,THA,23519
Bosnia ed Erzegovina,BIH,23376
Armenia,ARM,21534
Colombia,COL,21246
Brasile,BRA,21176
Suriname,SUR,21110
Botswana,BWA,21012
Gabon,GAB,20756
Turkmenistan,TKM,19829
Iran,IRN,18917
Egitto,EGY,18525
Mongolia,MNG,18005
Moldavia,MDA,17747
Ucraina,UKR,17665
Paraguay,PRY,17564
Guinea Equatoriale,GNQ,17412
Perù,PER,17011
Algeria,DZA,16824
Bhutan,BTN,16215
Ecuador,ECU,15919
Indonesia,IDN,15416
Sudafrica,ZAF,15200
Vietnam,VNM,15034
Iraq,IRQ,14653
Figi,FJI,14644
Sri Lanka,LKA,14456
Tunisia,TUN,14041
Libia,LBY,13847
Guatemala,GTM,13745
Belize,BLZ,13730
Bolivia,BOL,12892
El Salvador,SLV,12680
Giamaica,JAM,12651
Libano,LBN,12575
eSwatini,SWZ,11300
Namibia,NAM,11251
Uzbekistan,UZB,11107
Filippine,PHL,10986
Giordania,JOR,10412
India,IND,10323
Marocco,MAR,9895
Angola,AGO,9754
Laos,LAO,9292
Bangladesh,BGD,9148
Nigeria,NGA,8705
Nicaragua,NIC,8320
Ghana,GHA,7556
Cambogia,KHM,7431
Kirghizistan,KGZ,7298
Costa d'Avorio,CIV,7237
Gibuti,DJI,7226
Honduras,HND,7178
Mauritania,MRT,6966
Repubblica del Congo,COG,6850
Kenya,KEN,6317
Pakistan,PAK,6014
Birmania,MMR,5953
Palestina,PSE,5950
Zimbabwe,ZWE,5791
Camerun,CMR,5411
Nepal,NPL,5395
Tagikistan,TJK,4964
Timor Est,TLS,4807
Senegal,SEN,4778
Papua Nuova Guinea,PNG,4668
Guinea,GIN,4334
Benin,BEN,4130
Zambia,ZMB,4077
Tanzania,TZA,4019
Vanuatu,VUT,3568
Ruanda,RWA,3399
Sierra Leone,SLE,3368
Haiti,HTI,3292
Gambia,GMB,3289
Mali,MLI,3175
Togo,TGO,3154
Uganda,UGA,3098
Etiopia,ETH,3061
Guinea-Bissau,GNB,2990
Lesotho,LSO,2881
Burkina Faso,BFA,2759
Ciad,TCD,2700
Isole Salomone,SLB,2597
Sudan,SDN,2421
Afghanistan,AFG,2202
Niger,NER,1875
Malawi,MWI,1830
Madagascar,MDG,1808
Liberia,LBR,1795
Repubblica Democratica del Congo,COD,1731
Mozambico,MOZ,1678
Somalia,SOM,1556
Repubblica Centrafricana,CAF,1257
Burundi,BDI,1150
